Berdasarkan,Target Pasar,Rekomendasi Provinsi
Jumlah Pembudidaya/Nelayan,Nelayan Laut,"Jawa Timur, Jawa Tengah, Maluku, Sulawesi Selatan"
,Nelayan PUD,"Jawa Tengah, Kalimantan Selatan, Kalimantan Timur"
,Pembudidaya,"Jawa Barat, Jawa Tengah, Sulawesi Selatan"
Jenis Kegiatan Budidaya,Pembesaran,"Nusa Tenggara Timur, Jawa Barat, Jawa Timur, Nusa Tenggara Timur"
,Pembenihan,"Jawa Barat, Jawa Timur, Lampung"
Jenis Budidaya (volume produksi & nilai),Kolam Air Tenang,"Jawa Barat, Jawa Tengah, Jawa Timur, Sumatera Selatan"
,Tambak Sederhana,"Sulawesi Selatan, Jawa Timur"
,Rumput Laut,Kepulauan Sulawesi dan Nusa Tenggara
Jumlah Kapal Tangkap Ikan,Laut,Mungkin dapat diprediksi dengan jumlah nelayan laut
,PUD,Mungkin dapat diprediksi dengan jumlah nelayan PUD
Komoditas (volume & nilai produksi),Bandeng,"Sulawesi Selatan, Jawa Barat, Jawa Timur, Jawa Tengah"
,Bawal,"Jawa Barat, Jawa Tengah, Jawa Timur"
WPP (hitungan komoditas underfished),WPP571,
,WPP572,
,WPP717,
Luas Usaha Budidaya,Tambak,"Sulawesi Selatan, Kalimantan Timur"
,Budidaya Laut,"Jawa Timur, Sulawesi Selatan"
,Sawah/Minapadi,"Jawa Barat, Jawa Tengah, Jawa Timur"
